band_tier,strategy,n_bets,gross_win_all_lifeline_eligible_bets,expected_payout,gross_win_saved_bets,gross_win_losing_bets_post_lifelines,payout_as_frac_of_gross
high,shortest_price,50476,1460786.391761,484590.62291663,91645.029998,1369141.361763,0.35393761115553324
low,shortest_price,92077,861506.656158,185134.24654083,28787.690095,832718.966063,0.22232500289518267
high,longest_price,50476,1460786.391761,1678611.28189534,255617.360158,1205169.0316030001,1.3928430268927607
low,longest_price,92077,861506.656158,719444.93302373,97335.560345,764171.095813,0.9414710095234812
high,random_leg,50476,1460786.391761,925276.05270173,147231.320063,1313555.071698,0.7044059839117737
low,random_leg,92077,861506.656158,371149.97778738,58731.380242,802775.275916,0.4623335931265228
high,random_leg_weight_by_inverse_price,50476,1460786.391761,672381.88256141,135355.540087,1325430.851674,0.5072930675426797
low,random_leg_weight_by_inverse_price,92077,861506.656158,331299.19117714,53301.970202,808204.685956,0.40991990882267226
