teamID,teamName,displayName
1,adelaide,Adelaide
2,brisbane-lions,Brisbane Lions
3,carlton,Carlton
4,collingwood,Collingwood
5,essendon,Essendon
6,fremantle,Fremantle
7,geelong,Geelong
8,gold-coast,Gold Coast
9,greater-western-sydney,Greater Western Sydney
10,hawthorn,hawthorn
11,melbourne,Melbourne
12,north-melbourne,North Melbourne
13,port-adelaide,Port adelaide
14,richmond,Richmond
15,st-kilda,St Kilda
16,sydney,Sydney
17,west-coast,West Coast
18,western-bulldogs,Western Bulldogs
