season,n_legs,lifelines,worst_case_bets,worst_case_turnover,worst_case_payout,expected_payout,rpf_fees,poc_fees,gross_win_of_original_bets,fraction_saved,N_bets_total
2025,4,"5,5,2",2912,206995.5,856472.1509,305027.14955,4346.9055,32030.97,206995.5,0.5398591027067111,5394
2025,4,"3,3,3",1789,141387.21,599168.5873,253743.021325,2969.13141,21909.772,141387.21,0.3316648127549129,5394
2025,4,"4,3,3",2319,175871.42,716077.7129,271069.3652416667,3693.29982,27184.9585,175871.42,0.42992213570634036,5394
2025,4,"5,3,3",2829,203700.43,838284.2809,288833.101575,4277.70903,31526.21,203700.43,0.5244716351501668,5394
2025,4,"4,4,3",2343,176912.61,721202.9474,298864.27535,3715.16481,27343.7365,176912.61,0.43437152391546163,5394
2025,4,"5,4,3",2902,206742.47,854284.2754,316628.0116833333,4341.59187,31994.2655,206742.47,0.5380051909529107,5394
2025,4,"5,5,3",2921,207214.05,857377.4634,342440.9831,4351.49505,32066.2525,207214.05,0.5415276232851316,5394
2025,4,"4,4,4",2343,176912.61,721202.9474,329240.68475,3715.16481,27343.7365,176912.61,0.43437152391546163,5394
2025,4,"5,4,4",2909,206877.62,856387.7604,347004.4210833333,4344.43002,32014.538,206877.62,0.539302929180571,5394
2025,4,"5,5,4",2929,207374.2,859625.9484,373332.0966666667,4354.858200000001,32090.275,207374.2,0.543010752688172,5394
2025,4,"5,5,5",2929,207374.2,859625.9484,404700.2425,4354.858200000001,32090.275,207374.2,0.543010752688172,5394
2025,4,"1,1,1,1",533,51647.97,249761.9751,48042.5863,1084.60737,7951.3375,51647.97,0.09881349647756767,5394
2025,4,"2,1,1,1",1134,92048.58,382821.9912,61056.895925000004,1933.02018,14296.628,92048.58,0.21023359288097887,5394
2025,4,"3,1,1,1",1615,135371.41,572292.4138,80691.74325,2842.79961,20960.377,135371.41,0.2994067482387838,5394
2025,4,"4,1,1,1",2007,165147.34,665130.0036,87990.2685,3468.09414,25501.625500000002,165147.34,0.3720800889877642,5394
2025,4,"5,1,1,1",2375,187959.79,765216.3565999999,94179.478,3947.1555900000003,29067.168,187959.79,0.44030404152762326,5394
2025,4,"2,2,1,1",1196,94222.98,391115.6597,81539.5398,1978.6825800000001,14628.763,94222.98,0.22172784575454207,5394
2025,4,"3,2,1,1",1746,140308.06,593449.0223,101174.38712500001,2946.4692600000003,21739.6495,140308.06,0.3236929922135706,5394
2025,4,"4,2,1,1",2200,171771.61,694367.2469,108472.912375,3607.20381,26550.291,171771.61,0.4078605858361142,5394
2025,4,"5,2,1,1",2650,196883.6,805266.2559,114662.121875,4134.555600000001,30474.1145,196883.6,0.4912866147571376,5394
2025,4,"3,3,1,1",1780,141225.36,598005.5273,125325.07595,2965.73256,21882.9945,141225.36,0.3299962921764924,5394
2025,4,"4,3,1,1",2302,175472.52,713290.2904,132623.6012,3684.92292,27121.3735,175472.52,0.4267704857248795,5394
2025,4,"5,3,1,1",2801,202398.53,833071.7583999999,138812.8107,4250.36913,31326.425,202398.53,0.5192806822395254,5394
2025,4,"4,4,1,1",2321,176439.02,717965.5899,143646.31493333334,3705.21942,27269.098,176439.02,0.43029291805710046,5394
2025,4,"5,4,1,1",2856,204911.38,845586.6179,149835.52443333334,4303.13898,31710.602,204911.38,0.5294771968854283,5394
2025,4,"5,5,1,1",2874,205378.96,848663.8059,159804.2276,4312.95816,31781.989,205378.96,0.5328142380422692,5394
2025,4,"2,2,2,1",1197,94247.98,391223.1597,103042.14509166667,1979.20758,14632.513,94247.98,0.22191323692992213,5394
2025,4,"3,2,2,1",1755,140590.56,595011.5223,122676.99241666666,2952.40176,21784.5245,140590.56,0.3253615127919911,5394
2025,4,"4,2,2,1",2214,172269.11,697534.2469,129975.51766666667,3617.65131,26628.666,172269.11,0.41045606229143494,5394
2025,4,"5,2,2,1",2668,197619.1,809120.3559,136164.72716666668,4150.0011,30588.6895,197619.1,0.4946236559139785,5394
2025,4,"3,3,2,1",1797,141733.86,600595.5273,147242.33749166667,2976.41106,21961.7695,141733.86,0.3331479421579533,5394
2025,4,"4,3,2,1",2328,176253.92,718042.9604,154540.86274166667,3701.33232,27242.3335,176253.92,0.43159065628476084,5394
2025,4,"5,3,2,1",2838,204147.93,840770.5284,160730.07224166667,4287.10653,31593.335,204147.93,0.5261401557285873,5394
2025,4,"4,4,2,1",2351,177265.11,723007.6949,165960.65437499998,3722.56731,27396.6115,177265.11,0.43585465331850204,5394
2025,4,"5,4,2,1",2906,207073.47,856332.8229,172149.863875,4348.54287,32041.4155,207073.47,0.5387467556544309,5394
2025,4,"5,5,2,1",2925,207545.05,859426.0109,182577.256875,4358.4460500000005,32113.4025,207545.05,0.5422691879866518,5394
2025,4,"3,3,3,1",1797,141733.86,600595.5273,173590.6834,2976.41106,21961.7695,141733.86,0.3331479421579533,5394
2025,4,"4,3,3,1",2330,176295.97,718311.5729,180889.20865,3702.21537,27248.641,176295.97,0.43196143863552094,5394
2025,4,"5,3,3,1",2843,204274.98,841320.6409,187078.41815,4289.77458,31612.3925,204274.98,0.5270671116054876,5394
2025,4,"4,4,3,1",2354,177337.16,723436.8074,192654.75861666666,3724.08036,27407.419,177337.16,0.4364108268446422,5394
