bet_constraint,leg_constraint,expected_payout,AFL_season_cost
0.0,0.0,1.0,542989.8837047718
0.0,1.1,0.6029675011711986,327405.2533387059
0.0,1.2,0.38367971226367015,208334.20234193053
0.0,1.3,0.19982292758658424,108501.8282117864
0.0,1.4,0.1654543563362694,89840.04170547878
0.0,1.5,0.08179339641966708,44412.986809733324
0.0,1.6,0.07451750253846905,40462.25003733334
0.0,1.7,0.06933876878721144,37650.25
3.0,0.0,0.8845813170571185,480318.70647625864
3.0,1.1,0.5756221703109344,312557.0153150226
3.0,1.2,0.3833904987723827,208177.16234193053
3.0,1.3,0.19982292758658424,108501.8282117864
3.0,1.4,0.1654543563362694,89840.04170547878
3.0,1.5,0.08179339641966708,44412.986809733324
3.0,1.6,0.07451750253846905,40462.25003733334
3.0,1.7,0.06933876878721144,37650.25
3.5,0.0,0.8185660274897955,444473.072071361
3.5,1.1,0.5404374657514706,293452.0766780926
3.5,1.2,0.3675535490157359,199577.85883533055
3.5,1.3,0.19832934543277575,107690.82821178641
3.5,1.4,0.1654543563362694,89840.04170547878
3.5,1.5,0.08179339641966708,44412.986809733324
3.5,1.6,0.07451750253846905,40462.25003733334
3.5,1.7,0.06933876878721144,37650.25
4.0,0.0,0.7680152927276269,417024.5344816604
4.0,1.1,0.513006054895349,278557.0980874693
4.0,1.2,0.3573073028755438,194014.25083525717
4.0,1.3,0.19774201097915622,107371.91154511974
4.0,1.4,0.16522108004426478,89713.37503881211
4.0,1.5,0.08179339641966708,44412.986809733324
4.0,1.6,0.07451750253846905,40462.25003733334
4.0,1.7,0.06933876878721144,37650.25
4.5,0.0,0.7343542806253446,398746.94543485716
4.5,1.1,0.4939394343596333,268204.116020138
4.5,1.2,0.34691720038788104,188372.53029380052
4.5,1.3,0.19598384439941618,106417.24487845307
4.5,1.4,0.16501849800120813,89603.37503881211
4.5,1.5,0.08179339641966708,44412.986809733324
4.5,1.6,0.07451750253846905,40462.25003733334
4.5,1.7,0.06933876878721144,37650.25
5.0,0.0,0.7031720199314839,381815.2933270459
5.0,1.1,0.477769310662937,259423.90243457712
5.0,1.2,0.33724348803583054,183119.8023487672
5.0,1.3,0.1929692544734217,104780.35304511976
5.0,1.4,0.16464840209451792,89402.41670547878
5.0,1.5,0.08169747689170467,44360.903476399995
5.0,1.6,0.07451750253846905,40462.25003733334
5.0,1.7,0.06933876878721144,37650.25
5.5,0.0,0.5922508082141696,321586.19747626904
5.5,1.1,0.4487054298644098,243642.5091797755
5.5,1.2,0.32662452598515507,177353.81337980554
5.5,1.3,0.19058235088848366,103484.28854511975
5.5,1.4,0.16399461090861617,89047.41470547879
5.5,1.5,0.08169747689170467,44360.903476399995
5.5,1.6,0.07451750253846905,40462.25003733334
5.5,1.7,0.06933876878721144,37650.25
